1000,354.743698
2000,56.236216
3000,35.340718
4000,58.133797
5000,33.845965
6000,55.292610
7000,36.516877
8000,29.781335
9000,50.184481
10000,37.461012
11000,63.496173
12000,38.381055
13000,59.859645
14000,35.642688
15000,30.654402
16000,43.601219
17000,33.609244
18000,35.015853
19000,39.147048
20000,61.804928
50000,36.346584
80000,60.481006
110000,15.931456
140000,33.519167
170000,58.084898
200000,33.200963
230000,37.109938
260000,58.356087
290000,35.999173
320000,48.372967
350000,40.212089
400000,59.802072
450000,37.783691
500000,50.441501
550000,32.631202
600000,53.416934
650000,37.510298
700000,57.915258
750000,38.336868
800000,54.584283
850000,34.966983
900000,53.826186
950000,38.174540
1000000,41.169128
